"","Mycontrast.logFC","Mycontrast.t","Mycontrast.P.Value","Mycontrast.adj.P.Val","Mycontrast.B"
"F12",-3.53133741677489,-10.3197846351331,7.70541360398237e-19,8.71370319609323e-17,32.2732859603049
"CCNB2",-2.98331249774162,-10.3225051051581,7.58341372498557e-19,8.64966784442105e-17,32.2534900626543
"C9orf116",-2.70437824718626,-10.3031745225233,8.49397173201062e-19,9.2879123955564e-17,32.1818634553006
"KIF11",-2.7702866946828,-10.3134257247502,7.9982760659897e-19,8.96823649399234e-17,32.140615091955
"COPA",-1.27364251035398,-10.3054930498622,8.3792419334437e-19,9.2388125017828e-17,32.1352579208953
"MPRIP",1.44535986367835,10.307990313744,8.25739731370604e-19,9.18097679476006e-17,32.0545565023235
"ALG1",-1.26915505984923,-10.2959397293282,8.86215529742492e-19,9.53294119839261e-17,32.0236891610611
"SMG7",-1.06838565334268,-10.2983787997714,8.7362829095172e-19,9.47457042424771e-17,32.0190302353207
"KIF2C",-3.27380056750451,-10.2747782147466,1.00330713666598e-18,1.05355212104981e-16,31.9814741699324
"LIMS2",2.70333939133595,10.2814565454638,9.64776568012096e-19,1.02119670170944e-16,31.9743026688762
"DARS2",-1.75232205354579,-10.2926420719421,9.0352195144869e-19,9.64072495130453e-17,31.9651237726666
"SPRY2",2.91087143088793,10.256103152583,1.11940046369023e-18,1.16620374292012e-16,31.8981180337633
"PACSIN1",-3.18611270526055,-10.2473978771405,1.17800734345536e-18,1.21767305947327e-16,31.8455167795097
"CENPI",-2.61620914982852,-10.2414732628684,1.21963551469993e-18,1.24130749961499e-16,31.8047392976106
"EME1",-3.21329226668132,-10.2431018994432,1.20804803982961e-18,1.23904524147175e-16,31.7989813358133
"DST",3.10384479795444,10.239240627176,1.23570082009092e-18,1.24805782829183e-16,31.67204871809
"SMYD3",-1.92816984781366,-10.2162828677175,1.41365979671924e-18,1.40632577220994e-16,31.6584073336989
"SLC24A2",-4.89348035637215,-10.2350685820706,1.26628969652587e-18,1.26926355869195e-16,31.5887393355701
"TOP2A",-4.23609879286504,-10.2137831391003,1.43451874088273e-18,1.41642667616562e-16,31.5380742584479
"KIF24",-2.12410852069834,-10.1913331193621,1.63617137326701e-18,1.58015937516028e-16,31.5265370288775
"CAV1",3.65605794271356,10.2119737111393,1.44980886294908e-18,1.42092007893921e-16,31.5088851330836
"KLHDC9",-2.5284791884856,-10.1915084738946,1.6344915158588e-18,1.58015937516028e-16,31.5053597144957
"POLQ",-2.94860634671706,-10.1821014191247,1.72708548746464e-18,1.64396173270825e-16,31.4832745857442
"TOR3A",-1.2198480897219,-10.1896969145598,1.65192913153799e-18,1.58381698111443e-16,31.3540082093638
"AURKA",-3.05743631159312,-10.1659732960021,1.89817762931113e-18,1.79391344381539e-16,31.3456155686471
"C1orf43",-1.37789836794934,-10.1339482128654,2.28966018691219e-18,2.13341506570671e-16,31.1190586221874
"KCTD13",-1.4855817176331,-10.1356501336844,2.26696155478104e-18,2.12724598094383e-16,31.112334443295
"GPATCH2",-1.71042901014095,-10.1120683404911,2.60249020890693e-18,2.40794041636697e-16,30.9377091115386
"LMOD1",3.34208525929186,10.0961076574338,2.85726836826828e-18,2.62531373476094e-16,30.9232106026297
"UHRF1",-3.34093136438125,-10.08721954748,3.00978429024813e-18,2.72756547563514e-16,30.9172342413544
"TK1",-3.00009576365961,-10.0888034683163,2.98202225413007e-18,2.72104389271689e-16,30.7997415556115
"TMEM206",-1.78154323707759,-10.0551488482703,3.63081421736856e-18,3.22411428926198e-16,30.7213870536248
"SYNPO2",3.57542852934332,10.0679909932956,3.36810372934736e-18,3.0315224791153e-16,30.7077587325313
"TDRKH",-1.76419345705318,-10.0616037667903,3.49630625342768e-18,3.12565054318255e-16,30.6658994652898
"TMEM145",-4.61042642623526,-10.0454635254719,3.84238350668206e-18,3.38923841179403e-16,30.5450490355428
"TTK",-3.10562964330338,-9.99971449373271,5.02042722911727e-18,4.39902468002984e-16,30.4214114075173
"FAM173A",-1.63423513192995,-9.98988636058364,5.317177569011e-18,4.59814224938461e-16,30.3151009689267
"MYH11",4.58824651948599,9.996473160909,5.11642324205236e-18,4.45364446813124e-16,30.2902140716438
"KIF23",-2.61726852677588,-9.98367073129872,5.513819791356e-18,4.73723049736566e-16,30.2731349776063
"TINAGL1",2.78487683960351,9.97648759847986,5.75012358623115e-18,4.90837968834996e-16,30.2003354364559
"S100P",-6.25085374123573,-9.94511438272245,6.90642982949591e-18,5.78347930848484e-16,30.1268235775137
"BCL9",-1.70307540967785,-9.96640951368086,6.09878843963659e-18,5.17263268236101e-16,30.0605421552087
"PYGO2",-1.19161427020638,-9.96472175317676,6.15920660582791e-18,5.19060271348466e-16,30.0555144490597
"CIT",-2.36785123504644,-9.93949946927271,7.13660624368366e-18,5.93864384969676e-16,30.0145188400125
"FAM126A",2.72148139096283,9.9260730050353,7.71850961889414e-18,6.26525158083364e-16,29.9930761968408
"C1orf131",-1.50028431288038,-9.92773944331486,7.64378905628771e-18,6.24289956813227e-16,29.96688053736
"CCNB1",-2.60734162297294,-9.93619913138101,7.27545390398795e-18,6.01634566272904e-16,29.9317413937735
"BLZF1",-1.11044097097544,-9.92774433916752,7.64357060014329e-18,6.24289956813227e-16,29.8441097237986
"CCDC43",-1.24197548402487,-9.91655244103754,8.15958385136123e-18,6.58289353276588e-16,29.8151072126019
"CENPE",-2.97755830313498,-9.89575816066268,9.21233066636172e-18,7.29870341596598e-16,29.7895582905016
"UBE2C",-4.03471773775537,-9.88719096230502,9.68451008263116e-18,7.62712814900553e-16,29.7446384780792
"LIFR",2.86965863058904,9.89749335240951,9.11952951423816e-18,7.26870451824609e-16,29.7074984534951
"CENPA",-3.66716480222738,-9.87360139170443,1.04834938816351e-17,8.12472159975229e-16,29.7052092402973
"IQCK",-1.39232808096416,-9.88177259978836,9.99552510842633e-18,7.82549069287507e-16,29.6735202481582
"TRPA1",-7.86641684349297,-9.9021360128649,8.87579122009513e-18,7.11730870503507e-16,29.6572574774935
"IPO9",-1.1542647915711,-9.87332273613006,1.05005471510668e-17,8.12472159975229e-16,29.5448672397029
"ADD3",2.55709258752098,9.86001422421777,1.13480492980641e-17,8.72942094550502e-16,29.4632689336747
"GTSE1",-2.87737885726327,-9.8009627031344,1.60106598188643e-17,1.22449156106008e-15,29.2986681501087
"NCAPH",-2.95533009346831,-9.77250182486887,1.88976246981506e-17,1.41262413774706e-15,29.110100698853
"RPL26L1",-1.5315888638791,-9.77822636021801,1.82779901266164e-17,1.37406867821171e-15,29.0843346285418
"PIGC",-1.31325886600916,-9.78962750916149,1.71036206203327e-17,1.30056324383691e-15,29.0493987868999
"AQP1",2.96745521370925,9.78287330312532,1.77899268463996e-17,1.34502012631264e-15,29.0194688927394
"CDCA3",-3.09163550561841,-9.74357703619603,2.23637359537105e-17,1.65145829732829e-15,28.9582168651508
"RPUSD1",-1.3101892350885,-9.76505871310393,1.97347067786441e-17,1.46690958083281e-15,28.9125788720434
"MAD2L1",-2.29111437584242,-9.74183282574342,2.25919395220634e-17,1.65145829732829e-15,28.8650124069189
"ZWINT",-2.73015739624661,-9.74261935121494,2.24887485181213e-17,1.65145829732829e-15,28.8196844782238
"TRIP13",-2.78350968135221,-9.71579326610706,2.62883358241919e-17,1.90066104529991e-15,28.7582978718094
"GRM4",-5.22718784248524,-9.73035670717664,2.41524165055247e-17,1.75582759771757e-15,28.720675446034
"POLE2",-1.9521431691928,-9.67408896863763,3.35043338142171e-17,2.37056599302624e-15,28.5804794341392
"CDCA2",-3.3200187607081,-9.66416607782129,3.54938609993676e-17,2.48475806816208e-15,28.5241195432824
"SNRNP25",-1.68747861769006,-9.68590368523354,3.12800016796952e-17,2.24927012078287e-15,28.4621909213222
"STIL",-2.24288499337854,-9.6613781952123,3.60737262201622e-17,2.51206037694193e-15,28.448196020291
"FOXM1",-3.36343799238008,-9.66719392359635,3.48746072716664e-17,2.4543932383586e-15,28.4293510618735
"BPNT1",-1.38372727992044,-9.67751626330655,3.28433239951591e-17,2.33629042892446e-15,28.3967909378141
"KIFC1",-2.96092113568879,-9.65467571904457,3.75067459468214e-17,2.5981767310073e-15,28.3716319665291
"CCNE2",-2.72005132729001,-9.63601484021812,4.18025252561565e-17,2.85097531785673e-15,28.3629765401835
"C1orf56",-1.8123131697181,-9.64220944492227,4.03247215843607e-17,2.77773820741273e-15,28.3383072325427
"GPR89A",-1.60439647124383,-9.6291226076963,4.35102891521597e-17,2.95222890139602e-15,28.3188471883569
"WDHD1",-1.6002387362334,-9.62276029078794,4.51484137065861e-17,3.01696293814061e-15,28.1978617278215
"PRCC",-1.18219628541234,-9.64138336996668,4.05187418963538e-17,2.77773820741273e-15,28.1876216374086
"PRC1",-2.63873315304786,-9.6273147439726,4.39696433721273e-17,2.95310838302851e-15,28.1446276204792
"SPARCL1",2.56626816451444,9.62735639741726,4.39590055687109e-17,2.95310838302851e-15,28.1366333051162
"UBE2S",-2.0526550383314,-9.59712680435362,5.23950791710954e-17,3.48361453524002e-15,28.0183922727189
"KIF18A",-2.67742555323971,-9.56633493871949,6.26480518246926e-17,4.10344739451736e-15,27.9670276273547
"CCNA2",-2.74326760035526,-9.5696606736826,6.14506581111533e-17,4.04504307198343e-15,27.9203426072273
"NR3C2",2.6314388008547,9.55922258679074,6.52873920210747e-17,4.25525854103861e-15,27.9044777235029
"RNASEH2A",-1.7469659872897,-9.57552868203591,5.93933148607698e-17,3.92916474461422e-15,27.8611413906462
"CCDC78",-3.16965404637928,-9.53228805972495,7.63268247229113e-17,4.90233115489728e-15,27.7746390157285
"SH3BGRL2",2.53357293137753,9.54409335660402,7.12761164407489e-17,4.62281517954681e-15,27.7684724919174
"RAD51AP1",-2.64262693980015,-9.524295297337,7.99473686931167e-17,5.06116571855802e-15,27.703292344843
"PALB2",-1.17845683429221,-9.53808107828708,7.3805303275294e-17,4.76350228114836e-15,27.6822487489428
"HIST2H2BF",-4.58179197012363,-9.52563684458359,7.93279393608119e-17,5.04609598886011e-15,27.5857159093705
"AMOTL2",2.1483249949935,9.52979118416554,7.74399452001077e-17,4.94979669054408e-15,27.5477239151912
"DAP3",-1.27309837723917,-9.52177013532333,8.1126411703036e-17,5.11135025353748e-15,27.5321623499626
"UBAP2L",-1.23114471440559,-9.51533864756292,8.42082561172363e-17,5.2803764771903e-15,27.5179278492913
"LIN9",-1.7490147991865,-9.4823224895938,1.0196395210401e-16,6.27481418738677e-15,27.43765012923
"LTBP4",2.68268368493609,9.5075399405583,8.81021650850643e-17,5.4984893690589e-15,27.4247449099831
"UCHL5",-1.26821064404944,-9.49419329230497,9.51869776322472e-17,5.9127647936726e-15,27.3392090497993
"ECT2",-1.9915750686013,-9.48966224469367,9.77190672777238e-17,6.04168681846525e-15,27.3293597639247
"ZNF367",-2.23454399352208,-9.45378270496033,1.20289893185634e-16,7.23434353063239e-15,27.2966743184871
"PAQR4",-2.64037328915865,-9.48048056268616,1.03057750422759e-16,6.31276433260888e-15,27.295533061181
"WDR76",-1.7056710575598,-9.4572327554204,1.17910871734067e-16,7.12364723248144e-15,27.2770184437703
"ADIPOR1",-1.20643659572526,-9.4648306846722,1.12835674933077e-16,6.87985629050478e-15,27.2160437428637
"CENPK",-2.50730511804954,-9.42856837317507,1.39191642474913e-16,8.18508720704698e-15,27.1846134081419
"PIP5K1A",-1.18010110033176,-9.46234724561168,1.14470123756806e-16,6.94749636434083e-15,27.1622617601988
"ARL6IP1",-1.61561621784566,-9.43880019520389,1.31188640585575e-16,7.78366324478807e-15,27.1021141160549
"TFB2M",-1.38143975470892,-9.43947743635058,1.30675402594285e-16,7.78366324478807e-15,27.0749372571974
"GLG1",1.02840715517601,9.44265218073891,1.28296013077123e-16,7.6809255611919e-15,27.0694510868654
"TTC26",-1.13212258642604,-9.42446169444599,1.42538924629789e-16,8.29952976928919e-15,27.0681466569643
"RRM2",-3.49617611038869,-9.42545939894607,1.41718409476405e-16,8.2967976804527e-15,27.0371021593839
"SASH1",2.06079966971315,9.4349134329871,1.34173254537039e-16,7.92520683383731e-15,27.0032431496063
"FOXO1",2.35260019790839,9.4238798306451,1.43019634751563e-16,8.29952976928919e-15,26.9968029903696
"PDXDC1",-1.27362212892577,-9.39274789303033,1.71238961613896e-16,9.89372358564829e-15,26.8215533244737
"TCTEX1D2",-1.77724884348317,-9.36338969031554,2.02911656201686e-16,1.167271357915e-14,26.8179601697666
"EIF2AK1",-1.17946858028025,-9.35210737742084,2.16580457406199e-16,1.23516208273337e-14,26.6009661675801
"KCTD12",2.25555610843248,9.35695629550498,2.10596932879079e-16,1.20623723762905e-14,26.5595816053134
"PMM2",-1.31577498947799,-9.33899809007761,2.33618701827279e-16,1.32661332355224e-14,26.5308789171975
"CDC20",-3.24809070341761,-9.3140276855864,2.69852876008503e-16,1.51932910743341e-14,26.4179565706861
"HIST1H2BD",-3.32066554815649,-9.32244022887047,2.57059899100751e-16,1.4534869764966e-14,26.4108176790561
"JTB",-1.31529260967365,-9.30869498811498,2.78288766330563e-16,1.56018587598291e-14,26.3075842856515
"LMNB1",-2.59053590487101,-9.29608096718497,2.99303442309628e-16,1.67092145367033e-14,26.2380072305342
"RBMS3",2.73292390642139,9.26073908217006,3.66983070991587e-16,2.03161213903334e-14,26.1735476255777
"APOO",-1.62008180510574,-9.25009362748031,3.9021140394168e-16,2.15120295231349e-14,26.0540172423987
"TSNAX",-1.18204104770688,-9.26309690065455,3.62027607795256e-16,2.01259969694917e-14,26.0138870386545
"PLK4",-2.01251031615539,-9.22577069886119,4.48926281085848e-16,2.4443389403485e-14,25.9933241871806
"DMD",3.61203412340665,9.2205809012146,4.62550944470493e-16,2.50820145339717e-14,25.9684265714265
"ANGEL2",-1.02624339452567,-9.24819123608891,3.94514033807578e-16,2.16589841548052e-14,25.9419980707923
"CNIH2",-3.18171616531814,-9.19980872378597,5.21332217084535e-16,2.79260994503866e-14,25.8946775762774
"PPP1R12B",2.09507753740194,9.23352412673757,4.29312519171127e-16,2.34720410791454e-14,25.8563899736321
"MBNL1",1.14021479784536,9.2174915964889,4.7085596225253e-16,2.54281438227071e-14,25.7635856324163
"CACYBP",-1.44415307653827,-9.21029493252124,4.90783317290629e-16,2.63965612645216e-14,25.7130697337773
"PER1",3.19998825464371,9.19538259892118,5.34788240969216e-16,2.85313839365472e-14,25.6496023654752
"GSTCD",-1.452542642168,-9.17672995642188,5.95400365619971e-16,3.15109689500713e-14,25.5984574691807
"NSF",-1.29010852489474,-9.17938236420132,5.86381083117197e-16,3.11582655049142e-14,25.5355389567722
"UHMK1",-1.23556231240833,-9.16461581458111,6.38381920118728e-16,3.36511202593263e-14,25.5244128762923
"BRCA1",-1.93929069195143,-9.14175929816752,7.28067737482713e-16,3.77767224887599e-14,25.4351293247901
"FLAD1",-1.50054208854555,-9.16107805147655,6.51507297351977e-16,3.42067184573968e-14,25.4337412601094
"SHCBP1",-2.61827909488151,-9.1196290666242,8.268348880368e-16,4.20763553985188e-14,25.428905303102
"ZNF695",-4.14155238839492,-9.15459372032009,6.76266254118942e-16,3.52270819222351e-14,25.4253302142478
"GGPS1",-1.18693727342963,-9.15965912705737,6.56846814881972e-16,3.43507518091042e-14,25.4207503009246
