"","Mycontrast.logFC","Mycontrast.t","Mycontrast.P.Value","Mycontrast.adj.P.Val","Mycontrast.B"
"NEK2",-5.49202640317128,-15.0240927068833,8.66688775494078e-31,1.14671591885621e-26,59.3568981712949
"NUAK2",-3.16586991820223,-14.8482959891105,2.3680723271664e-30,1.56659824803693e-26,58.3774248656301
"KLHL12",-1.41266874225932,-13.6462852397139,2.45670981206056e-27,8.27306046028361e-24,51.5384288169346
"CDC25C",-4.30087435185679,-13.6432095431844,2.50111418948941e-27,8.27306046028361e-24,51.2342874101968
"CST2",-7.03575723313018,-13.5325116260166,4.7678011893518e-27,1.26165555072627e-23,49.4186640806666
"SPC25",-3.67556965019409,-13.139219850005,4.74794279095245e-26,1.04700051778486e-22,48.5028144400525
"UBE2T",-4.00033999844508,-13.0916658720438,6.27287241756194e-26,1.18566249938232e-22,48.3643417901487
"HSD17B6",-3.16836862380556,-13.0543602275156,7.8054252469943e-26,1.29091976803727e-22,47.9435827140415
"RABIF",-1.73943994322568,-12.999927723941,1.07390583675842e-25,1.42088481261507e-22,47.8208966813836
"CKAP2L",-4.01877162507041,-13.008809395721,1.0194159134212e-25,1.42088481261507e-22,47.8025921976828
"KIF4A",-4.13125336189352,-12.9153500304545,1.76363198554e-25,2.12132861824362e-22,47.3413021315588
"NUF2",-4.67451433342367,-12.7869866951688,3.74690246095087e-25,4.13127220507008e-22,46.5675577179573
"HJURP",-4.12952516510077,-12.7318691682667,5.17960226587443e-25,5.27163981382958e-22,46.2550675981535
"POLR3K",-2.16712430104026,-12.7097058783049,5.90009501480937e-25,5.57601122435306e-22,46.1233822443393
"DTL",-3.82311370933673,-12.6711238199018,7.4019371291393e-25,6.52900201037614e-22,45.9240372064863
"EXO1",-4.18741557329643,-12.6087125526847,1.06835583413473e-24,8.83463502589787e-22,45.5320165267757
"GABRD",-3.67023988454903,-12.5519621033647,1.49172740972211e-24,1.15764126279656e-21,45.0400223285263
"ASPM",-4.3867988623141,-12.4966411018353,2.06567588760944e-24,1.43847145626108e-21,44.9120910784454
"CENPL",-2.16716998158048,-12.4819817125322,2.25181296137163e-24,1.4896868645954e-21,44.8289333298467
"HMMR",-4.00824376714956,-12.4707746273302,2.40536183962673e-24,1.51549250000482e-21,44.7532602692812
"NEIL3",-4.71711993529377,-12.5427397206233,1.5749030859601e-24,1.15764126279656e-21,44.6735524197706
"HSD17B7",-2.35203225378015,-12.437030517091,2.93393317720063e-24,1.76449408488825e-21,44.5658443535066
"PKMYT1",-4.14542288677095,-12.418947022848,3.26354194171821e-24,1.87738797525538e-21,44.4624022105332
"KIF14",-4.4546702968418,-12.4012229441474,3.62254463971887e-24,1.99707867200502e-21,44.30938684922
"COL10A1",-6.66907243171435,-12.3611328132658,4.5872217249458e-24,2.42774122571032e-21,44.1248160232882
"SLC35A2",-1.32340544676028,-12.3206365407814,5.82299776220159e-24,2.96323397660343e-21,43.8189163652621
"PRR19",-2.93081615322127,-12.2282063651246,1.00387101962398e-23,4.91933980023884e-21,43.1754423934656
"RMI1",-1.82531537776681,-12.2016303112507,1.17410116031148e-23,5.54804730431473e-21,43.1708345578177
"C1orf112",-2.20468618874823,-12.1572904627915,1.52482851251791e-23,6.72500201637483e-21,42.9382721754077
"KIF18B",-4.41979419035058,-12.1635285264954,1.4697704869662e-23,6.70570114243097e-21,42.926874890238
"PBK",-4.34771606011061,-12.1345381173494,1.74372440647471e-23,7.44232826518287e-21,42.7849553642305
"INTS7",-1.73963284136002,-12.1258414902643,1.83546766231919e-23,7.58908520004536e-21,42.6858300735126
"NDC80",-3.65631693052903,-12.0564387306091,2.76368055943317e-23,1.10806840854122e-20,42.343163878929
"IQGAP3",-4.22957548070597,-11.9907567176202,4.07135603371172e-23,1.53908890520114e-20,41.959546381556
"ANXA1",3.26413570038476,11.9949012171287,3.97302676551391e-23,1.53908890520114e-20,41.9319549008262
"GSN",3.31453776510654,11.9774101767352,4.40485713278254e-23,1.61890735344016e-20,41.8592675771523
"ASF1B",-3.28716088814551,-11.9475798723215,5.25241907834213e-23,1.87823667096067e-20,41.7086107095786
"KIF20A",-3.89525755181301,-11.9366109536348,5.60356182596242e-23,1.95107175050813e-20,41.6507153011429
"POC1A",-2.38669244117824,-11.9200109349228,6.18014456002368e-23,2.09665365829931e-20,41.5602458520077
"SKA1",-4.02532021404808,-11.8502471555147,9.32768812455379e-23,3.08536603939928e-20,41.0831094215355
"FLVCR1",-2.1240932341372,-11.7538048233463,1.64799758142549e-22,5.31820878044893e-20,40.5454952211418
"MMP11",-5.13197273108132,-11.7274237907467,1.92565242542579e-22,6.06626362876396e-20,40.3971022274452
"ANLN",-3.72609271736184,-11.6920864659311,2.37224675368642e-22,7.29934809256397e-20,40.204212693757
"ESCO2",-3.62211357911024,-11.6703100220647,2.6976284476777e-22,8.11189136164173e-20,40.051308992138
"SKA3",-3.66627807377255,-11.5400324776815,5.82040404393432e-22,1.71132813122878e-19,39.3325656512083
"PTTG1",-3.52721142858223,-11.5095686871468,6.96704978927802e-22,2.00393556004212e-19,39.1682209776753
"DEPDC1",-4.12324340032692,-11.4746113736499,8.56373247296056e-22,2.41078179467534e-19,38.9523561510967
"SPATA17",-3.08467654699701,-11.4498932960224,9.90894881271201e-22,2.73136045293735e-19,38.7380192706282
"E2F7",-3.65546931850893,-11.4434625627802,1.02923015798072e-21,2.77913147351897e-19,38.6646931706729
"BUB1",-3.48487206361763,-11.4219698430309,1.16844300638713e-21,3.01762170278731e-19,38.6543467963797
"LRRC46",-3.24772785940247,-11.4222260531234,1.16667734325741e-21,3.01762170278731e-19,38.6003707310662
"CCDC87",-2.98191245462385,-11.4194466555166,1.18597482083697e-21,3.01762170278731e-19,38.3239273749185
"CLSPN",-3.2764158483118,-11.3713312089251,1.57547321933319e-21,3.87339754609003e-19,38.31865102517
"CLEC5A",-3.6755116357837,-11.3707529821618,1.5808590997571e-21,3.87339754609003e-19,38.2287710839163
"LSM12",-1.46688364071076,-11.3459289356607,1.83029954664708e-21,4.40303514576136e-19,38.2056811343693
"ERCC6L",-3.31970758305086,-11.3303798819591,2.00620945050001e-21,4.74002807849386e-19,38.062405956807
"TMCO1",-1.57494332779356,-11.3088843131198,2.27756231862736e-21,5.19559086857907e-19,37.9185438369125
"OIP5",-3.07124152537776,-11.3217405259282,2.11115216007244e-21,4.90046565437165e-19,37.8832672178402
"CEP55",-3.66591564669778,-11.2866126825358,2.59747289705284e-21,5.72786065015102e-19,37.8746533677123
"PARN",-1.28340128176415,-11.2901253104997,2.54418419754996e-21,5.70544086742093e-19,37.7807254178041
"SLC25A44",-1.21852873063542,-11.2587470400644,3.06171821275931e-21,6.64091699557679e-19,37.5945265018486
"CDC6",-3.21168688337224,-11.2103647609504,4.07332133494023e-21,8.69259912622487e-19,37.4131057982196
"BUB1B",-3.20458640861038,-11.2057643193313,4.18539919748742e-21,8.79000266380254e-19,37.3987093045609
"DLGAP5",-3.78104025220851,-11.1713154016158,5.12866567821802e-21,1.06027149357035e-18,37.2064608761565
"TRIM59",-2.35890579534296,-11.1556878351754,5.62397747156669e-21,1.14478224501998e-18,37.107228105453
"DEPDC1B",-3.47391884228887,-11.1349556732471,6.35562404919747e-21,1.27411002719593e-18,36.9034784320276
"NCAPG",-3.49162213583938,-11.1121311104352,7.27158888651383e-21,1.43597600832037e-18,36.8559858877547
"NUSAP1",-3.38728624597467,-11.1080175173213,7.45018212505872e-21,1.44960823083312e-18,36.7800270337922
"TADA1",-1.31424188402414,-11.0517432300759,1.03825993586628e-20,1.9909010451372e-18,36.4390289303804
"MMP1",-7.23348859238553,-11.0461660651832,1.07297500556796e-20,2.02807604266709e-18,36.2945048197146
"IL11RA",1.97534618969207,11.0027906936265,1.38568947887259e-20,2.50813857916373e-18,36.2276263521
"SPC24",-3.08716184116745,-10.9988915743441,1.41791386792636e-20,2.50813857916373e-18,36.2056398763117
"CENPF",-3.84959530233355,-11.0156248841586,1.28470086888626e-20,2.39406721073719e-18,36.2032448754023
"RACGAP1",-2.16344421302447,-11.0027837879497,1.38574589917229e-20,2.50813857916373e-18,36.1298641252629
"STX6",-1.20550075663535,-10.9984345325129,1.42173980377356e-20,2.50813857916373e-18,36.0697076260121
"CENPM",-3.20562267751059,-10.9666448485147,1.71479784095833e-20,2.98532766233154e-18,36.0094313190726
"COG2",-1.61567055826196,-10.9359058557213,2.05543725634958e-20,3.53188186217679e-18,35.7083283970204
"SCAMP3",-1.3485374275976,-10.9331006648586,2.08970453922703e-20,3.54472830237344e-18,35.6978335155421
"CKS2",-2.89542201601329,-10.904109900379,2.4790705605938e-20,4.1519724793945e-18,35.605602015698
"TRIM11",-1.36800590926018,-10.8644950377853,3.13089147779871e-20,5.17810314284434e-18,35.296387998982
"CDCA8",-3.00087129027624,-10.8267478906883,3.91063167849949e-20,6.3099472851496e-18,35.1849096238914
"FAM83D",-3.66445506601267,-10.8212403748026,4.03958320919482e-20,6.40693502699181e-18,35.173642277586
"PARP1",-1.89706694115999,-10.8321574710409,3.78797735255163e-20,6.18749732735934e-18,35.1676159778858
"CDKN3",-3.26844371371473,-10.8200675308972,4.0675878033959e-20,6.40693502699181e-18,35.1592400401702
"MATN2",3.9704932414417,10.7950625863688,4.7130254798113e-20,7.33624001451569e-18,34.9575470316879
"TROAP",-3.43370976791978,-10.7827815524573,5.0665370020194e-20,7.79480826438589e-18,34.9523713122242
"ARF1",-1.29803212178277,-10.7738056242364,5.3415537786465e-20,8.07625526551287e-18,34.872167449982
"RAB26",-3.33950677444663,-10.7704464564605,5.44826863130243e-20,8.09955531019803e-18,34.8712365571002
"IQCD",-2.13732493704613,-10.7728545146785,5.37155516109994e-20,8.07625526551287e-18,34.7991778548369
"RNFT2",-2.63838424519842,-10.7476443226837,6.23116123427748e-20,9.16049936563615e-18,34.746259150201
"ESM1",-3.20823833778675,-10.7351490419344,6.70685210124667e-20,9.64547392952116e-18,34.6737703329842
"PIGM",-1.39624991343138,-10.7378415966553,6.6013724848058e-20,9.59810542268852e-18,34.5654014877045
"CDK1",-3.35345379940115,-10.7008024416795,8.20970018818177e-20,1.16798433537455e-17,34.4036304969528
"TPX2",-3.58890332007451,-10.6982349165457,8.33470928695461e-20,1.1731546656989e-17,34.3644330748113
"NVL",-1.76267258683317,-10.6880296208355,8.85067252231947e-20,1.2326657699243e-17,34.2693978686747
"RAD51",-2.70212138431705,-10.6583743780185,1.05382246807241e-19,1.43297175798905e-17,34.2323705375251
"GK",-1.76881506248202,-10.6562183706373,1.06727667820603e-19,1.43297175798905e-17,34.2147007000595
"PLK1",-3.40908494028958,-10.6551770551949,1.07383614017737e-19,1.43297175798905e-17,34.1734801721339
"ARTN",-3.74969950186831,-10.6537264201561,1.0830411593901e-19,1.43297175798905e-17,34.1688311269631
"ISG20L2",-1.29387568820291,-10.6687754294264,9.91258406949749e-20,1.36618124816168e-17,34.1448946097139
"BIRC5",-4.2160405902674,-10.6394251325869,1.17811657640551e-19,1.54333271509122e-17,34.0819133828636
"TSHZ2",3.55884316170197,10.6201746789164,1.31938548601605e-19,1.711449937792e-17,34.002786359249
"ADAMTS5",3.43317631502498,10.606947263277,1.42614121572629e-19,1.83196839080335e-17,33.9162824468161
"SNX27",-1.25352008791093,-10.5976088837932,1.50666364705228e-19,1.91679487636046e-17,33.7338522243857
"ITM2A",3.19827377976899,10.5712559223245,1.75922857385077e-19,2.21679554863044e-17,33.7126746391603
"DNAH14",-2.22949911855726,-10.5620167960808,1.85744421365181e-19,2.29680788699319e-17,33.6653985260479
"MRPL24",-1.7383806771845,-10.5640338668266,1.83554499784741e-19,2.29114111948293e-17,33.5404727608575
"EGFR",3.79402600402163,10.5430378462215,2.07670955136862e-19,2.54416148834798e-17,33.528819488797
"C16orf71",-2.65382755660389,-10.529183739234,2.25291773621134e-19,2.73471142823965e-17,33.4439358599721
"GINS1",-2.6732384489861,-10.522603676009,2.34176221141876e-19,2.81671416538924e-17,33.4207789114226
"MELK",-3.84358341502468,-10.4887570309904,2.857134635569e-19,3.4056530056949e-17,33.2507468801881
"HAGHL",-2.79781288149713,-10.4349225320875,3.91994713727413e-19,4.63078755118518e-17,32.9363974627729
"RPLP0P2",-2.7622802434389,-10.4248568219764,4.15866104564931e-19,4.86931365442355e-17,32.7643109438631
"KIF15",-3.17027684015273,-10.3934533661918,5.00074085913653e-19,5.80393002695048e-17,32.7036299328769
"TGFBR2",2.74922029375844,10.379091796942,5.44062858481176e-19,6.25956146136038e-17,32.4684823243225
