,Mycontrast.logFC,Mycontrast.logCPM,Mycontrast.LR,Mycontrast.PValue,Mycontrast.FDR
A2M,-1.610325074307,10.4389108675456,62.0820052440096,3.29448183096336e-15,2.69587529976661e-14
AADAC,-5.35067611989961,1.73062098049835,18.6537949944241,1.56734987548995e-05,3.90903993336887e-05
AAGAB,1.15882411011728,6.13331286442275,119.793865834452,7.01879712563039e-28,2.11381170968471e-26
AASS,-1.47787728730948,3.64413768416517,43.8464837942989,3.55168654918528e-11,1.79365609763794e-10
ABAT,2.01328516316608,5.77431512076886,80.6144287557588,2.74348912588988e-19,3.52379406617463e-18
ABCA10,-3.74014047157081,3.68490596927642,161.561994186523,5.15681390490436e-37,3.02326809864859e-35
ABCA12,2.39391828972656,4.14392626388744,18.5614279910978,1.64515947625004e-05,4.09226827290482e-05
ABCA1,-1.38541607086013,6.35476156116786,35.9790584330818,1.99449622689461e-09,8.19607468192114e-09
ABCA5,-1.43778321941142,5.31625171169331,51.548714421057,6.9842408861396e-13,4.35804737602022e-12
ABCA6,-2.70885010716931,4.67860941224807,90.3838736381908,1.96158428111665e-21,3.18660815913913e-20
ABCA8,-4.49330916551833,5.92452782708519,97.4455875828378,5.53567566184495e-23,1.05827677761445e-21
ABCA9,-3.78018758642132,5.08447073883419,115.196151717239,7.12858011279428e-27,2.01355675091797e-25
ABCB1,-1.86046881120035,3.57724121723411,61.0323274997783,5.61452581919339e-15,4.50150167125248e-14
ABCB5,-3.28100810403934,1.6756597104047,47.3509171328352,5.93503429616096e-12,3.3047293119738e-11
ABCB9,1.0330636580417,3.62684097473102,44.2564209119206,2.88057997881122e-11,1.47621330615768e-10
ABCC2,-1.14093227645112,1.27513008000162,10.5928228828972,0.00113527504857301,0.0021622023051872
ABCC5,1.59847951483104,6.2258276298213,74.1825773609837,7.12160703941469e-18,7.88096631349993e-17
ABCC6,-1.11530147216876,3.50565854047818,10.0481741957656,0.00152499008776407,0.00284126331182144
ABCC8,1.53095795641449,3.48801040588683,11.900103470063,0.000561308260580922,0.00111308136880982
ABCC9,-2.09702673396976,5.20866397892834,43.350170668878,4.57696317788753e-11,2.2757150878068e-10
ABCD2,-3.99529407265095,3.76229860878246,54.5101258098136,1.54648915521414e-13,1.04027223082253e-12
ABCG2,-1.13882417633097,3.07244663048741,24.8367274812844,6.23971908246903e-07,1.87486498083673e-06
ABHD11,1.33107118121827,5.658115696944,69.4145059398028,7.97996042031004e-17,7.87901631020283e-16
ABHD12B,2.76590067353814,1.433141878145,40.492750839917,1.97346869731319e-10,9.09256918835425e-10
