,Mycontrast.logFC,Mycontrast.AveExpr,Mycontrast.t,Mycontrast.P.Value,Mycontrast.adj.P.Val,Mycontrast.B
NEK2,5.08773550112775,1.78614874931554,27.0605087671031,6.67373838070292e-62,8.80332829798522e-58,130.541537679025
ERCC6L,3.40439225411516,0.892603584634811,24.5198545052754,2.48315094085104e-56,1.6377622030383e-52,117.518031782502
NUF2,3.73490705285731,1.65441006544786,23.5326194407684,4.48344678449314e-54,1.54435347586593e-50,112.609481060182
CKAP2L,3.62808284495544,1.27018513390719,23.5244396679468,4.68305200778085e-54,1.54435347586593e-50,112.55162370184
UBE2T,3.15328940440945,2.51184023343524,23.0407746724846,6.24510568533612e-53,1.64758378190538e-49,110.051651648033
CEP55,3.5244142816689,2.24471101292453,22.9039576403109,1.30643955409769e-52,2.87220735968377e-49,109.311149013789
HSD17B6,3.55763427169042,0.766957347903741,22.8711801432161,1.55968038785526e-52,2.93910628517124e-49,108.939460262684
KIF4A,4.2103206890639,2.29944393246703,22.7963166098627,2.33883903155404e-52,3.85645320815367e-49,108.739606043243
CDCA8,2.92070987168423,2.63346498995152,22.6494265264092,5.18981056378104e-52,7.41289637939699e-49,107.944130033034
DTL,3.42958360553839,2.92260274225752,22.6347888866523,5.6196621783011e-52,7.41289637939699e-49,107.871175119209
PKMYT1,4.02454868531709,2.31855341561985,22.4201301897916,1.81073490400396e-51,2.17140037442875e-48,106.699725341454
KIF14,3.90927995450545,1.21436901389567,22.2825318220432,3.84510069854627e-51,4.22672694287699e-48,105.89028557445
BUB1,3.33380208260169,2.50549371143282,22.2489791200878,4.6218442251836e-51,4.68974978264591e-48,105.770356903128
KIF18B,3.79499951557046,1.17818762924492,22.0288133487705,1.55125448507744e-50,1.3641731941771e-47,104.51061075063
SLC24A2,6.26347072174819,-1.11070212612818,22.0915813854211,1.09771667556989e-50,1.03428433338875e-47,104.474901481053
HJURP,3.55604679099139,1.66182601171509,21.9403784931196,2.52731053177923e-50,2.08360957654374e-47,104.043038951416
MELK,3.62757007181755,1.8569330321901,21.8583689017454,3.97755587469304e-50,3.08634938488682e-47,103.614394612574
ASPM,3.91772646805972,2.57834366699021,21.8363118182292,4.49420057098471e-50,3.2934999851033e-47,103.507240959539
IQGAP3,3.80718589495955,2.93302585779881,21.8262025747432,4.75301296937437e-50,3.29984179363249e-47,103.448978280766
COL10A1,7.42522869731077,2.76854231354754,21.7304321008588,8.08371903260371e-50,5.33161688795378e-47,102.919470904292
EXO1,3.85423751765611,1.4275674249548,21.6887465483393,1.01896401167795e-49,6.40054965621134e-47,102.638598080237
BUB1B,3.19187921112616,2.33052087740887,21.58184402805,1.84692201699604e-49,1.10739765119067e-46,102.096277646942
GINS1,2.6418567500511,2.70442146729307,21.5222670225464,2.57433971630532e-49,1.47643979120798e-46,101.768514989977
UBE2C,3.87893892140585,2.59500983153884,21.4908774778005,3.06710318070856e-49,1.68575658569694e-46,101.59423459611
ASF1B,3.09816352198207,2.94976498653163,21.4130960135899,4.73630418654883e-49,2.49906354099062e-46,101.158372255247
TROAP,3.39660645576122,1.5783221328077,21.1718745563368,1.83143602122373e-48,9.29172021383163e-46,99.7932388167749
SPC25,3.19440988053633,1.02522735651538,21.1454777985522,2.12451003090148e-48,1.03794117843043e-45,99.559451470114
DLGAP5,3.67702923025213,1.90968755286088,21.1204909972523,2.44521750011346e-48,1.15195943014274e-45,99.5234629195879
AURKA,2.99470899123258,2.84010914852476,20.9554084135611,6.20265161813309e-48,2.82135094809633e-45,98.5992962156613
E2F7,3.53643646134863,0.428454354183382,20.6873481546589,2.83257891520085e-47,1.24548494901382e-44,96.951511527862
CDK1,3.19399508669626,3.60299735427734,20.6026550409197,4.58560666111837e-47,1.94996657136956e-44,96.5863786033143
SPRY2,-3.35875940120494,4.95636207583342,-20.5971944083751,4.73041697246803e-47,1.94996657136956e-44,96.5716625539537
GTSE1,2.99543812439486,1.72736454156332,20.5502539043629,6.18069199076023e-47,2.47059115303389e-44,96.2993887242418
NCAPG,3.07595897522009,2.25369242068426,20.5107479872589,7.74235945152918e-47,2.91798467214633e-44,96.088177594296
GABRD,3.53917881080263,0.594720878447665,20.5285993471808,6.99284681995901e-47,2.7130188941788e-44,95.9479360043515
POLQ,2.92101256993213,1.32999198350652,20.2883905701029,2.76134260814788e-46,1.01180195400218e-43,94.7563160798665
CDC25C,4.22188032198898,0.381358341965221,20.2264962016994,3.93838024251958e-46,1.40408577781286e-43,94.2799308716288
ANLN,3.41843634552813,3.18100746165469,20.1371235039472,6.58168368123009e-46,2.28471024839753e-43,93.9390044070837
NDC80,3.05106888423131,1.86204189484311,20.0995467543334,8.17022897796672e-46,2.7634228320092e-43,93.7325896075352
POC1A,2.29611386402264,2.54134287682504,20.0472935402634,1.10390496164934e-45,3.6404025872791e-43,93.4394953970717
KIF23,2.76113892575146,3.12629983016913,20.005377319177,1.4056597298848e-45,4.52245304802693e-43,93.1903690049314
CLSPN,3.11696257475603,0.972514513915834,19.8910822298665,2.71974797609515e-45,8.54195132206455e-43,92.5090892675924
FAM83D,3.40630803667468,1.9911126047058,19.845860415485,3.53294736238121e-45,1.08379322458536e-42,92.2864810199353
DEPDC1B,3.41519569706263,0.617423647040039,19.8350656610386,3.76073296903239e-45,1.12745064987514e-42,92.1145745893101
SKA1,3.3205045309367,0.857926967661531,19.7178798374392,7.41737002628779e-45,2.1742784003725e-42,91.4547994116805
PLK1,3.06383715552773,2.853696757685,19.6909992386766,8.66995161012958e-45,2.48620286280912e-42,91.3799869775298
NUSAP1,3.22912388402392,3.47930040156241,19.5986710892861,1.48276392720245e-44,4.07482061744323e-42,90.8242383901142
NEIL3,3.95652651050376,-0.644038337007388,19.6055148152466,1.4248903550719e-44,3.99909120718158e-42,90.4079809122254
TTK,2.97908703090032,2.12525787506095,19.4561870059811,3.40111488242834e-44,8.97649393637996e-42,90.0335419633073
CDKN3,2.98315124646627,1.48961075194655,19.4561168767131,3.40250698824197e-44,8.97649393637996e-42,90.0070862405302
PBK,4.06698637038281,1.42540986746212,19.3744354596315,5.48246429139134e-44,1.41802326407339e-41,89.5440361430734
KIF11,2.64306199388718,3.68777863429226,19.3539869884958,6.17869204820839e-44,1.56736782322917e-41,89.3928552964799
DEPDC1,3.47633628456136,1.51169573402488,19.2796412307206,9.54671483471175e-44,2.37605123367326e-41,88.998495265482
TPX2,3.36249435706159,4.12899179826821,19.2196046813031,1.35723658521701e-43,3.3154273695551e-41,88.6063670651866
RRM2,3.84627735518059,3.3500739954475,19.193582745796,1.58104410847384e-43,3.79191869725063e-41,88.4695452943476
HMMR,3.50740738219665,1.91478185086157,19.1672387514878,1.84539376841613e-43,4.31940328438517e-41,88.3489534198523
NCAPH,2.88532535792018,2.26146753122334,19.1653043345541,1.86646946562016e-43,4.31940328438517e-41,88.3395737686872
