"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol"
"TSPAN6",1.35120485499769,6.54931628354399,16.6044200317666,7.50967142488844e-53,4.10116464196396e-52,108.637939569843,"ENSG00000000003","TSPAN6"
"FGR",-1.93335126230341,2.21975524736469,-20.1705690125834,2.07717235493045e-72,1.76226251882548e-71,153.87708576106,"ENSG00000000938","FGR"
"FUCA2",1.25789234665983,6.28677374444435,18.804601942948,9.33552679231078e-65,6.71503479745472e-64,136.007870150627,"ENSG00000001036","FUCA2"
"ENPP4",1.89578525473837,5.10629325905201,14.2847367892583,4.7206676683423e-41,1.91985558729062e-40,81.8971928011522,"ENSG00000001561","ENPP4"
"CYP51A1",1.12783684846191,5.61064626283253,13.3096259989448,2.20103316102221e-36,7.8608970982208e-36,70.9595088579559,"ENSG00000001630","CYP51A1"
"RAD52",-1.53990160816932,3.44918718109141,-25.1395618837356,3.04015039538439e-101,4.57149511609395e-100,220.015185935853,"ENSG00000002016","RAD52"
"CD99",-1.06349450184905,7.18038006682447,-10.3699625114199,1.29349639022728e-23,3.20945341888115e-23,41.5931316796722,"ENSG00000002586","CD99"
"AOC1",7.4534415803124,2.15331644133369,8.44398309459155,1.61879477440943e-16,3.23703281554783e-16,26.6906773706695,"ENSG00000002726","AOC1"
"HECW1",2.61213421052541,-0.624790220687257,10.3867899579063,1.10910330365473e-23,2.75899727975604e-23,42.8776954645136,"ENSG00000002746","HECW1"
"KLHL13",-2.12664233992756,3.76195587420748,-16.4071732289203,8.17037768679542e-52,4.35695194102026e-51,106.307048511781,"ENSG00000003096","KLHL13"
"CYP26B1",-2.49947847792589,0.871589882267557,-15.366045800056,1.93105846355161e-46,9.04496583773652e-46,94.4196842430316,"ENSG00000003137","CYP26B1"
"ICA1",1.93035178519989,5.06427858668865,10.1874694488341,6.77715863062133e-23,1.64277345739199e-22,40.3598802928519,"ENSG00000003147","ICA1"
"DBNDD1",4.38220223287974,4.49933950004937,14.9073921981237,3.9515006971403e-44,1.75028000660788e-43,89.3277839251209,"ENSG00000003249","DBNDD1"
"CFLAR",-1.666188489048,6.74277793034406,-24.8973202094204,8.1229431408344e-100,1.17779299422755e-98,216.58540607694,"ENSG00000003402","CFLAR"
"TFPI",-2.15004900168361,3.70451698066648,-18.4187430851386,1.25655933881573e-62,8.63259730089123e-62,131.149982112098,"ENSG00000003436","TFPI"
"RBM5",-1.55954168353082,7.17715932332012,-20.461529140763,4.64267927696397e-74,4.06537422831739e-73,157.350327315062,"ENSG00000003756","RBM5"
"MTMR7",-1.40330725268553,0.712532189821716,-14.2839072219236,4.76491457352123e-41,1.93694721290913e-40,82.1939749789299,"ENSG00000003987","MTMR7"
"SLC7A2",-2.90739254788146,3.81831456272912,-15.6789530931584,4.8846088856015e-48,2.37596856641235e-47,97.6133259700055,"ENSG00000003989","SLC7A2"
"ARF5",1.00601220939956,7.2867401808239,18.9659336996149,1.18958953002447e-65,8.74789636265465e-65,137.995031068171,"ENSG00000004059","ARF5"
"PLXND1",-1.28972252501734,6.22130500403775,-14.2129866474038,1.05670108800182e-40,4.24603480258367e-40,80.7057417941603,"ENSG00000004399","PLXND1"
"CD38",1.67223486876262,1.58377739035499,6.70904257572215,3.90010562048339e-11,6.48579867843377e-11,14.1971152618376,"ENSG00000004468","CD38"
