"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol"
"FKBP4",1.33292191055004,7.46608549072683,17.3505113873211,8.04739953034143e-57,4.83870355076682e-56,117.707060847002,"ENSG00000004478","FKBP4"
"RBM6",-1.97371985158575,6.78009856445835,-25.5197834801824,1.74321698043794e-103,2.72463564424543e-102,225.031864190066,"ENSG00000004534","RBM6"
"CAMKK1",-2.17206330426863,3.21081419314924,-28.1686975774893,3.94897737009365e-119,8.48300643676644e-118,261.148194101235,"ENSG00000004660","CAMKK1"
"HSPB6",-4.60783293214551,4.80761090167577,-24.7823280551173,3.86033053549524e-99,5.54203666918876e-98,215.072995485771,"ENSG00000004776","HSPB6"
"ARHGAP33",-2.43294454413456,3.9795161748174,-28.4460736771397,9.10061148100063e-121,2.01193873337255e-119,264.837807067019,"ENSG00000004777","ARHGAP33"
"PDK4",-3.06192904454533,5.08030732837135,-21.5443638527523,2.95315560506253e-80,2.92017535255702e-79,171.602584658184,"ENSG00000004799","PDK4"
"ZMYND10",2.68239011017483,2.97360923105425,6.6163708424854,7.0709149871793e-11,1.16510457322283e-10,13.5349512801819,"ENSG00000004838","ZMYND10"
"ARX",1.95996783645557,-3.7152772127454,4.8911014295995,1.23131675804819e-06,1.72860025840117e-06,4.63788157129669,"ENSG00000004848","ARX"
"SLC25A13",1.26102707640342,5.2891281128668,16.6601214570801,3.8183344069116e-53,2.10237396021967e-52,109.494620373145,"ENSG00000004864","SLC25A13"
"HCCS",1.05627456147926,4.22356827318782,13.546624616982,1.68148629238918e-37,6.20350367981059e-37,73.7956295236106,"ENSG00000004961","HCCS"
"DVL2",-1.08245189485391,5.10928537615857,-18.4024029031376,1.5452270389993e-62,1.05907250456836e-61,130.861944042855,"ENSG00000004975","DVL2"
"PRSS22",6.23055841580504,2.40410871989308,11.7368388835625,2.7469467470413e-29,8.03807953508497e-29,55.6282677456127,"ENSG00000005001","PRSS22"
"SLC25A5",1.12730579341294,7.61409204925447,14.5618733346889,2.05672221652394e-42,8.68233437144896e-42,84.6257377112877,"ENSG00000005022","SLC25A5"
"HOXA11",-3.59675383308643,3.60049733617156,-22.8632266426414,6.75924095495172e-88,7.83398272273906e-87,189.231492880144,"ENSG00000005073","HOXA11"
"POLR2J",1.14495177577255,5.54027369933114,15.3832165009303,1.57972723860352e-46,7.41328550523571e-46,94.2398144358694,"ENSG00000005075","POLR2J"
"MEOX1",-2.38208045074366,0.841918345962812,-12.08246917713,8.488591930809e-31,2.57820841109353e-30,58.6072900091682,"ENSG00000005102","MEOX1"
"THSD7A",-1.04778799547013,3.80728454722401,-7.84651889758532,1.50179696816675e-14,2.80950713381945e-14,21.1235014905787,"ENSG00000005108","THSD7A"
"ACSM3",-1.46004164010957,5.06179971372975,-12.1470479256362,4.40043955156829e-31,1.35016476865445e-30,58.6751671954623,"ENSG00000005187","ACSM3"
"CIAPIN1",1.03280492145437,5.51551131908533,15.6802987169381,4.80759304634414e-48,2.33915887049877e-47,97.7081491024331,"ENSG00000005194","CIAPIN1"
"COPZ2",-2.40192478306129,2.08261030420801,-25.7163286591114,1.20734441871572e-104,1.93563499040977e-103,227.952781010603,"ENSG00000005243","COPZ2"
"PRKAR2B",-1.85830124306024,2.91908375657347,-16.4228858878291,6.75883507889555e-52,3.60753856429544e-51,106.645873823416,"ENSG00000005249","PRKAR2B"
"TSPOAP1",-2.68244961144443,4.33461427278761,-26.9443163247511,6.75383137068782e-112,1.2492797518442e-110,244.40499642363,"ENSG00000005379","TSPOAP1"
"WDR54",1.05495509801905,4.71032234420964,8.56301044304285,6.35985471758929e-17,1.28724699279311e-16,26.6653585646647,"ENSG00000005448","WDR54"
"RHBDD2",1.37832941368902,6.54251444358542,19.5997710132568,3.43372980886195e-69,2.69916850184674e-68,146.184220602194,"ENSG00000005486","RHBDD2"
"SOX8",-2.73988870127438,-0.806377178461101,-16.0202100200877,8.495986614405e-50,4.31930907942484e-49,102.294099202054,"ENSG00000005513","SOX8"
"MYCBP2",-1.04198712260889,6.26832811252941,-14.4571650948274,6.74555133889056e-42,2.8008248513275e-41,83.4441469967564,"ENSG00000005810","MYCBP2"
"GDE1",1.37562144748278,6.49640049331919,23.4894052530441,1.49481713231979e-91,1.8597785477214e-90,197.608593845152,"ENSG00000006007","GDE1"
"OSBPL7",-1.51860759536615,3.67642121868669,-24.811008019938,2.6171155757271e-99,3.76342514323229e-98,215.534213174966,"ENSG00000006025","OSBPL7"
"MAP3K14",-1.07826475219125,4.07845989771139,-17.6869787728531,1.2344639948574e-58,7.77636528071421e-58,122.003273515513,"ENSG00000006062","MAP3K14"
"ABCC8",-4.73779690719743,-1.97966375452772,-25.8598455883065,1.71733815118567e-105,2.80745354930943e-104,230.044261658919,"ENSG00000006071","ABCC8"
"TMEM132A",2.92216001597117,7.05023134062435,21.6121230599896,1.20231589402529e-80,1.19977094619469e-79,172.632426218201,"ENSG00000006118","TMEM132A"
"CACNA1G",-2.97724961703352,0.45802266238435,-16.7322985668904,1.58704224580099e-53,8.8274164201233e-53,110.68329851302,"ENSG00000006283","CACNA1G"
"TNFRSF12A",1.31533783715705,5.12229403212162,7.95707112415734,6.62803311431447e-15,1.25734400884162e-14,22.0351356676875,"ENSG00000006327","TNFRSF12A"
"DLX6",5.82935548698733,3.25569800526044,9.24060260255152,2.56412544371698e-19,5.59705169750411e-19,32.8802581847228,"ENSG00000006377","DLX6"
"MAP3K9",2.85988966569195,3.58447215600558,16.0855217879883,3.89382429983858e-50,2.00176767645401e-49,103.056008525819,"ENSG00000006432","MAP3K9"
"RALA",1.02615537722996,5.94420975450535,19.1565772288881,1.03457906881386e-66,7.74845972405333e-66,140.519203570713,"ENSG00000006451","RALA"
"BAIAP2L1",2.36767909993333,5.30824175873211,15.5973030719764,1.27964280356716e-47,6.16937794986786e-47,96.9970937136299,"ENSG00000006453","BAIAP2L1"
"TTC22",1.51065361819134,2.54093648669695,6.30955838270346,4.82115888309626e-10,7.69823090423362e-10,11.5877217656526,"ENSG00000006555","TTC22"
"USH1C",3.997617040421,0.250877898742808,8.26377536307955,6.52897188156432e-16,1.27888665390372e-15,25.2664918529516,"ENSG00000006611","USH1C"
"GGCT",1.92757069696845,5.75943412934014,17.2138531924114,4.34899444803589e-56,2.57238081238013e-55,116.272498435122,"ENSG00000006625","GGCT"
"DBF4",1.06225772619922,3.70000800153814,9.78482626670778,2.42411862540441e-21,5.61912308078792e-21,36.9537399050115,"ENSG00000006634","DBF4"
"TBXA2R",-2.12926086632737,0.866262221631188,-22.4623848088343,1.44950423490532e-85,1.60633433096909e-84,184.259608320341,"ENSG00000006638","TBXA2R"
"ARHGAP44",-1.64643429144892,3.24950484570183,-17.4473570406066,2.42625380588493e-57,1.47872624514503e-56,119.112674223449,"ENSG00000006740","ARHGAP44"
"SCIN",2.25768667565631,2.55838643763332,11.004415818313,3.46592151289334e-26,9.29092806967859e-26,48.3193623354067,"ENSG00000006747","SCIN"
"ARSD",1.59236048972159,6.51805477915686,13.5038813368287,2.67918131574758e-37,9.79316003574706e-37,72.9782050624545,"ENSG00000006756","ARSD"
"PRSS21",3.55852853009352,-0.451931065558747,6.64159930694648,6.01771578854422e-11,9.94332871672756e-11,14.0997546073351,"ENSG00000007038","PRSS21"
"PROM1",7.18499340201955,4.85341745381488,8.96641717337054,2.48326842703371e-18,5.2593068446757e-18,30.6082330771395,"ENSG00000007062","PROM1"
"CEACAM21",1.57883548772849,0.266692369350389,4.80829452288395,1.84524607639248e-06,2.56958544711113e-06,3.89137789589035,"ENSG00000007129","CEACAM21"
"NOS2",-1.31548817654994,-1.38878784313063,-6.32907218182626,4.27692931005669e-10,6.84740504408617e-10,11.9419844172302,"ENSG00000007171","NOS2"
"DNAH9",1.4994273994649,1.6104001732585,3.91786354417893,9.76278478166619e-05,0.000126866017243987,-0.0607604780388824,"ENSG00000007174","DNAH9"
"SLC13A2",1.6408100250222,-4.14228952168621,5.20995262943934,2.45287719165295e-07,3.543609148087e-07,6.19663015999159,"ENSG00000007216","SLC13A2"
"GAS7",-1.6326939062492,4.79848893658715,-14.1178966744647,3.06345265688997e-40,1.21500238049413e-39,79.6716573601487,"ENSG00000007237","GAS7"
"TRAPPC6A",1.55653078689785,4.3331022704294,11.6894951994857,4.39953525951802e-29,1.28136739909455e-28,54.5856498146516,"ENSG00000007255","TRAPPC6A"
"CEACAM7",1.75042766143662,-2.05382898339645,3.61076281057333,0.000325938855828401,0.000414172904656138,-0.786170986834133,"ENSG00000007306","CEACAM7"
"CD79B",-1.60623763443946,1.24880752069546,-12.4241816945794,2.55730360911809e-32,8.11479840892249e-32,62.1119682638484,"ENSG00000007312","CD79B"
"SCN4A",-2.3207489355405,-2.73189587963242,-10.338831498944,1.71840544260366e-23,4.24803658380608e-23,42.3481542747235,"ENSG00000007314","SCN4A"
"RHBDF1",-1.7310619585156,5.17601961151221,-24.1745143525537,1.44401474686169e-95,1.91689111335681e-94,206.802282613218,"ENSG00000007384","RHBDF1"
"LUC7L",-1.32526640673083,6.03583839061588,-16.555150672091,1.36483218571432e-52,7.4326468359085e-52,107.992230299293,"ENSG00000007392","LUC7L"
"CACNA2D2",-1.28811565555284,2.26806905808341,-8.84900357182988,6.45962084991623e-18,1.35021170143905e-17,29.0789405321484,"ENSG00000007402","CACNA2D2"
"BAIAP3",1.32222009585393,4.6826316084898,7.76626815204585,2.7035270647193e-14,5.01943827460337e-14,20.7536760879537,"ENSG00000007516","BAIAP3"
"CRAMP1",-1.37692680266587,4.63328670445878,-21.6602282432287,6.35018441636976e-81,6.36953805490154e-80,173.152231026789,"ENSG00000007545","CRAMP1"
"TEAD3",-2.06521545226446,5.8709544280437,-26.3571388897544,1.98847106358325e-108,3.41386818524436e-107,236.393192431197,"ENSG00000007866","TEAD3"
"SELE",-2.04500701181088,0.471779824885094,-9.9393426751634,6.2215336174802e-22,1.46711113816016e-21,38.4615642663287,"ENSG00000007908","SELE"
"FMO3",-1.45416061343997,-0.449954487912202,-5.9817881435618,3.43825743594037e-09,5.32955873590223e-09,9.78018698291307,"ENSG00000007933","FMO3"
"NOX1",1.04718022123724,0.0885284744877334,6.29112268562705,5.39723033135401e-10,8.59918603122105e-10,11.747875320992,"ENSG00000007952","NOX1"
"E2F2",6.01828781438342,2.00896603245885,17.536703742221,8.00728530446991e-58,4.93188833212813e-57,120.730472467813,"ENSG00000007968","E2F2"
"CDKL5",-1.83241909695768,2.99273235879048,-24.650141334256,2.31423723880779e-98,3.25279936797133e-97,213.427956936777,"ENSG00000008086","CDKL5"
"TFAP2B",2.61269189960494,-2.71202128428525,5.9585312759423,3.93906098242126e-09,6.09176706413459e-09,10.1397796908804,"ENSG00000008196","TFAP2B"
"ADAM22",-1.87584023172858,2.62726994515772,-19.8083563127049,2.30630018264525e-70,1.8564279688916e-69,149.113637914931,"ENSG00000008277","ADAM22"
"CYB561",2.32783159008251,6.34996938077988,18.7636359556557,1.57367384075327e-64,1.12683057488749e-63,135.617474589194,"ENSG00000008283","CYB561"
"SPAG9",-1.52759571666596,6.02876985471312,-25.7354004903846,9.31731980751474e-105,1.50066490676343e-103,227.940006388306,"ENSG00000008294","SPAG9"
"AASS",-4.43031230842845,2.20272505309521,-50.1036773815958,9.16618813050076e-240,3.71827487349592e-237,538.73328971585,"ENSG00000008311","AASS"
"PLEKHG6",3.45002584379038,2.51197098580992,14.253372198504,6.71583323357778e-41,2.71670406060522e-40,82.0258995403073,"ENSG00000008323","PLEKHG6"
"SS18L2",1.54165442961679,4.32831880921675,16.3166502300378,2.4326703305338e-51,1.28274088801394e-50,105.586309895288,"ENSG00000008324","SS18L2"
"MGST1",1.39604612414289,5.49905955121959,6.39142927220473,2.91061618625132e-10,4.68745989629598e-10,11.464287491006,"ENSG00000008394","MGST1"
"NFIX",-1.59017077346691,6.89216126447622,-10.158477030481,8.79946402381148e-23,2.12618161750026e-22,39.6955320830072,"ENSG00000008441","NFIX"
"IL32",2.82023841164178,5.71181794639601,10.706621006401,5.76254939438219e-25,1.48824621092995e-24,45.1122283633237,"ENSG00000008517","IL32"
"PKD1",-3.05556375999321,6.59074571420204,-35.0719808913261,2.23201018900395e-159,1.07549595930376e-157,353.685361613655,"ENSG00000008710","PKD1"
"MAPK8IP2",-1.6131416070851,1.70559211716668,-11.4515883691575,4.60085539159993e-28,1.30048161717189e-27,52.297783798359,"ENSG00000008735","MAPK8IP2"
"REV3L",-1.82608937841024,5.93592692525961,-20.6322192859445,4.95900983164451e-75,4.42003109317196e-74,159.566247065416,"ENSG00000009413","REV3L"
"TENM1",-4.61246187932138,0.311810838559204,-24.5484629437063,9.17097973076762e-98,1.26959840828397e-96,212.183241662031,"ENSG00000009694","TENM1"
"MASP2",-2.97624833762641,0.361724620898713,-40.704778662193,7.19939586218883e-191,7.13517397864544e-189,426.147051078183,"ENSG00000009724","MASP2"
"VTA1",1.38677566154602,6.22348081729699,28.8179153984422,5.82419123446433e-123,1.33322004859267e-121,269.903814900401,"ENSG00000009844","VTA1"
"MLXIPL",1.89189926500539,1.91191172250876,6.99093630728702,6.11606170550252e-12,1.04580398322792e-11,15.9904408274232,"ENSG00000009950","MLXIPL"
"ETV7",1.42323210228302,1.50440641914333,6.7612583548854,2.78063813883449e-11,4.65119592018507e-11,14.5129216809059,"ENSG00000010030","ETV7"
"UQCRC1",1.39962600332978,7.69362843378612,22.7088618971971,5.35238678879111e-87,6.0980850918931e-86,187.079318171291,"ENSG00000010256","UQCRC1"
"HHATL",-2.43374857885215,-2.8497271246008,-10.7878733178802,2.69080933279632e-25,7.02106016334572e-25,46.4613788420488,"ENSG00000010282","HHATL"
"NCAPD2",1.09790572606589,6.5016582164773,13.2676705880587,3.46037069704837e-36,1.22806197494638e-35,70.3880926605604,"ENSG00000010292","NCAPD2"
"IFFO1",-4.04647015439014,2.8534482153662,-61.6812118030926,1.51017405258819e-293,3.7631379998994e-290,662.447592972822,"ENSG00000010295","IFFO1"
"GIPR",1.25384059676555,-0.562634362787293,5.34113721296148,1.23108287594761e-07,1.80013233340215e-07,6.55530226628709,"ENSG00000010310","GIPR"
"SEMA3G",-1.42152374447896,3.13636009708653,-13.3402747864067,1.58069652992371e-36,5.6744370387856e-36,71.4038258811666,"ENSG00000010319","SEMA3G"
"NISCH",-1.54608228792824,6.78269129345565,-23.9041588572669,5.56802158027685e-94,7.21031925944833e-93,203.157644505372,"ENSG00000010322","NISCH"
"STAB1",-1.98526147030617,5.92629183727022,-22.1015744782647,1.79139726444096e-83,1.90068993209512e-82,178.982620689078,"ENSG00000010327","STAB1"
"SLC6A13",1.59986954363505,-1.81763697638211,4.59811920998269,5.01484516537732e-06,6.87688240720728e-06,3.12920935241421,"ENSG00000010379","SLC6A13"
"IDS",-1.32966159021671,6.66849784038342,-20.7671108761088,8.43799931870825e-76,7.66184394150068e-75,161.336947970345,"ENSG00000010404","IDS"
"CD4",1.52861705689528,4.37428848506175,9.26797518181362,2.03815217758582e-19,4.46346370792587e-19,32.5057320831465,"ENSG00000010610","CD4"
"FYN",-1.3763055954902,5.38830066098295,-12.8609831367336,2.65547746518247e-34,8.93164161688735e-34,66.038195173111,"ENSG00000010810","FYN"
"FMO1",-1.07152446702743,0.262032179753859,-6.47686718992275,1.70886214034693e-10,2.77487267865122e-10,12.6481908818649,"ENSG00000010932","FMO1"
"LYPLA2",1.54533739216085,6.49111671987418,23.1910395858256,8.28304780938503e-90,9.9848792632414e-89,193.613475247835,"ENSG00000011009","LYPLA2"
"CLCN6",-2.14062569798853,4.283401868605,-39.6208217233345,6.28482483398993e-185,5.24527270714289e-183,412.505196427844,"ENSG00000011021","CLCN6"
"MRC2",-1.70843505252278,6.44071148232018,-11.6593775618494,5.93260419982173e-29,1.718691497384e-28,53.7955931081225,"ENSG00000011028","MRC2"
"NME1-NME2",1.34505597779727,8.84730834398247,20.6033237064991,7.24414376509156e-75,6.43706570017789e-74,159.192003584985,"ENSG00000011052","NME1-NME2"
"ABHD5",1.03025585403862,3.55857559680598,9.30589256833074,1.4816666516196e-19,3.25910610393452e-19,32.9065682526109,"ENSG00000011198","ABHD5"
"ANOS1",2.35984021344429,1.89337011575493,8.91987914914709,3.63159677387161e-18,7.64862865571632e-18,30.1399873541636,"ENSG00000011201","ANOS1"
"DPF1",1.57481566431027,-0.259324027237392,7.51777810294893,1.61743806165487e-13,2.92453323410863e-13,19.7518409544666,"ENSG00000011332","DPF1"
"PLAUR",1.24399621669963,5.07570360968796,8.10967943897835,2.11057571909257e-15,4.0728811005788e-15,23.1604725950008,"ENSG00000011422","PLAUR"
"ANLN",4.75966653089108,4.24868715609759,13.9513312001346,1.9574411623764e-39,7.62305117109435e-39,78.6304368381235,"ENSG00000011426","ANLN"
"DCN",-4.1128216431381,7.61035614933322,-17.852380746923,1.56513378729058e-59,1.0025937808193e-58,124.028727646485,"ENSG00000011465","DCN"
"QPCTL",1.36224092021556,4.23002475658245,12.6279708862834,3.0740480189275e-33,1.00150578248323e-32,64.0833340907804,"ENSG00000011478","QPCTL"
"CEP68",-1.0624597926985,5.18442635554181,-18.6196745168949,9.82804118427522e-64,6.93208743943844e-63,133.60803029558,"ENSG00000011523","CEP68"
"TYROBP",1.68797362009844,4.54182025853872,8.66863736186738,2.7517634762956e-17,5.63368665692772e-17,27.6491973272953,"ENSG00000011600","TYROBP"
"GABRA3",2.97892260542304,-2.89932104777302,6.53740710926415,1.16747734745302e-10,1.9058780881257e-10,13.5829593990296,"ENSG00000011677","GABRA3"
"BRCA1",1.12783219813096,3.76332562253977,9.26167157691548,2.14890472884217e-19,4.70246458225994e-19,32.5132925209151,"ENSG00000012048","BRCA1"
"CD22",-1.015679179747,0.938612815751401,-4.85157064679103,1.49473258326913e-06,2.09065996712079e-06,3.73918044724052,"ENSG00000012124","CD22"
"SEMA3B",-2.05856785538916,5.39865071864682,-15.616705478939,1.01811356898132e-47,4.91801578059849e-47,96.8136515311497,"ENSG00000012171","SEMA3B"
"LTF",3.61177117043758,4.17890830651285,4.21428884348019,2.81597995224407e-05,3.74184035247911e-05,0.987682729620071,"ENSG00000012223","LTF"
"CALCOCO1",-2.44779238212466,5.91698720151327,-32.1533532871808,1.58528426030314e-142,5.43263523624119e-141,314.877950252325,"ENSG00000012822","CALCOCO1"
"MAP4K5",-1.4145598007829,5.50285693077265,-26.4687029213034,4.36038735807065e-109,7.56798374993298e-108,237.903809688154,"ENSG00000012983","MAP4K5"
"PSMC4",1.12423457113631,6.66641525182956,17.2951641356146,1.59480453701982e-56,9.5300361559564e-56,117.048933993695,"ENSG00000013275","PSMC4"
"CLDN11",-2.91024107315722,1.29196099953151,-20.8508570022559,2.80585573541099e-76,2.5827198729696e-75,162.80993945813,"ENSG00000013297","CLDN11"
"SLC25A39",1.52310287865759,7.64413778024843,26.8607680724998,2.10478698088034e-111,3.83233813230645e-110,243.2319202442,"ENSG00000013306","SLC25A39"
"CLK1",-2.16205269211448,6.35249819035093,-25.7996106367892,3.89372162915913e-105,6.31797082580676e-104,228.826405049806,"ENSG00000013441","CLK1"
"GPRC5A",1.56217899181318,5.60786935972222,6.45382009706336,1.97402222362662e-10,3.19681270510808e-10,11.8513492760309,"ENSG00000013588","GPRC5A"
"MAMLD1",-2.23523475381493,2.402204799422,-22.0168170043826,5.54178151579174e-83,5.77796144530516e-82,178.116499069711,"ENSG00000013619","MAMLD1"
"CD6",1.48897098522801,1.68289827603656,8.10168571126096,2.24193456597274e-15,4.32254500212915e-15,23.7503627151259,"ENSG00000013725","CD6"
"TACC3",3.22403238405476,5.57020215665106,15.1980251581596,1.36955994033004e-45,6.27014016776297e-45,92.4269304159249,"ENSG00000013810","TACC3"
"ACPP",2.69495169846256,1.18531186274551,11.8020002644454,1.43351514997612e-29,4.22592610461947e-29,56.1911305595214,"ENSG00000014257","ACPP"
"MDH1",1.11161027034333,7.12472190166628,20.3315128302653,2.54215487690477e-73,2.19193314472812e-72,155.632397539675,"ENSG00000014641","MDH1"
"MTMR11",-3.03682369845711,3.52169023211536,-42.8097644636458,3.11981972320683e-202,4.00139819352181e-200,452.357288671038,"ENSG00000014914","MTMR11"
"CCDC88C",1.65807957514062,5.65136566857036,15.4665313360893,5.95266968845454e-47,2.81770467776696e-46,95.2746282710097,"ENSG00000015133","CCDC88C"
"DPEP1",1.39729573999351,0.123179338837449,4.02677329592829,6.23926252047501e-05,8.17237036454498e-05,0.535532548834595,"ENSG00000015413","DPEP1"
"BID",1.59506841941599,4.45234123857034,17.1016654354334,1.73018625622624e-55,1.00800397018552e-54,115.091515998207,"ENSG00000015475","BID"
"NPC1L1",-2.64806358726468,-1.14693993449925,-13.2507152524053,4.15361074263371e-36,1.47139382988952e-35,70.9886552529563,"ENSG00000015520","NPC1L1"
"IGF1",-1.34904661607022,4.3975078064782,-7.83432297895421,1.64267233598051e-14,3.07008824134876e-14,20.9125771567511,"ENSG00000017427","IGF1"
"RUFY3",-2.15285784860322,4.66407119467603,-33.2786198369813,4.6449461748654e-149,1.85829807633434e-147,329.923624837345,"ENSG00000018189","RUFY3"
"ATP1A2",-3.39146675370613,1.3550568428598,-17.6962384628748,1.09990004370916e-58,6.93871843125457e-58,122.338907373652,"ENSG00000018625","ATP1A2"
"ZNF582",-1.2965138372419,1.27458042759533,-10.8513797142727,1.47960964572854e-25,3.89332192645088e-25,46.6871271191571,"ENSG00000018869","ZNF582"
"VSIG2",-2.32856499646426,-0.440041067374018,-9.7527623196256,3.20813474454851e-21,7.4108719837319e-21,36.9402674828698,"ENSG00000019102","VSIG2"
"PHLDB1",-2.12370153305975,6.48119019323118,-28.4580624291491,7.73240362507634e-121,1.71162838111937e-119,264.961378741394,"ENSG00000019144","PHLDB1"
"MARCO",1.02821423248327,-0.144391002319969,3.49632510099984,0.000499905823747372,0.000629865449553988,-1.41967663165011,"ENSG00000019169","MARCO"
"CYP24A1",3.8468207502275,-0.137736581523878,7.90899192240303,9.47043916066495e-15,1.78509693407693e-14,22.6591152753742,"ENSG00000019186","CYP24A1"
"PRDM11",-2.02282051383252,3.75333797316467,-26.6202444189298,5.54992311388637e-110,9.80823798130901e-109,240.049925453138,"ENSG00000019485","PRDM11"
"SYT13",5.392794500436,0.599630178905722,8.48813788998258,1.14604814750294e-16,2.30066956345884e-16,27.0224126026483,"ENSG00000019505","SYT13"
"SNAI2",-2.51573365707793,3.22626941565473,-22.1460594196862,9.89975701411663e-84,1.05422137727251e-82,179.699309292064,"ENSG00000019549","SNAI2"
"CD74",1.75955559004013,10.2416614502348,11.3083927105029,1.86003105744374e-27,5.1762159755889e-27,50.4013091865066,"ENSG00000019582","CD74"
"HGF",-2.78599988480172,1.75721434328322,-22.7033702951672,5.76100322908501e-87,6.55934590893798e-86,187.316910768094,"ENSG00000019991","HGF"
"ADGRA2",-2.58656167921543,5.70128949617099,-22.5108284901194,7.58330266054008e-86,8.45211171295851e-85,184.450301814397,"ENSG00000020181","ADGRA2"
"MNAT1",1.08541269535526,5.04134001218203,14.6831306918523,5.16746451044795e-43,2.21846132059423e-42,86.2643703065677,"ENSG00000020426","MNAT1"
"SAMD4A",-3.36135562426911,3.81920134475931,-36.2490697043727,4.43248906188518e-166,2.48604201628499e-164,369.133817271408,"ENSG00000020577","SAMD4A"
"RUNX3",2.19161611340047,3.21259279898385,9.78209411598091,2.48276400158631e-21,5.75276998932918e-21,37.1587762190452,"ENSG00000020633","RUNX3"
"PLEKHB1",2.94633795798302,4.52739371873639,9.5995279734529,1.212529259917e-20,2.75034432779353e-20,35.4869010937381,"ENSG00000021300","PLEKHB1"
"SERPINB1",1.27641631650754,5.89113085513342,10.1407142414499,1.03233508069307e-22,2.49059762275646e-22,39.6516021488281,"ENSG00000021355","SERPINB1"
"SLC7A9",-1.18048825573068,-0.671668353149384,-7.739827116873,3.27780464615653e-14,6.06757364352206e-14,21.1517905988569,"ENSG00000021488","SLC7A9"
"NRXN3",-1.37633480766802,2.01023043093157,-7.1282879462132,2.42313650840373e-12,4.21487536059894e-12,16.4732095593614,"ENSG00000021645","NRXN3"
"OSBPL5",-1.91250195575908,4.46970685993378,-27.9150050617705,1.24346930023646e-117,2.60382172917462e-116,257.599893433501,"ENSG00000021762","OSBPL5"
"CPS1",-2.24376572895049,0.711517757854211,-13.3654274138262,1.20421867099225e-36,4.33275294515632e-36,72.0290094708393,"ENSG00000021826","CPS1"
